"title","authors","year_published","type","total_citations","2020","2021","2022","2023","2024","2025","2026","matched_keywords","matched_go_words","source_syllabi"
"Politics of Nature: How to Bring the Sciences into Democracy","Bruno Latour; Catherine Porter","2011","article","4","1","1","1","0","0","1","0","science, nature","science","2020cprize-35; 2021cprize-48; 2022cprize-30; 2025cprize-09"
"Rebuilding the American City","Patty Heyda; David Gamble","2016","book","4","1","1","0","1","1","0","0","","city","2020cprize-34; 2021cprize-52; 2023cprize-33; 2024cprize-30"
"Subtraction","Keller Easterling","2014","book","4","2","1","0","0","0","0","1","","","2020cprize-46; 2020cprize-66; 2021cprize-08; 2026cprize-30"
"Sun, Wind, and Light: Architectural Design Strategies","G. Z. Brown; Mark DeKay","2001","book","4","1","0","0","1","1","0","1","","design","2020cprize-30; 2023cprize-37; 2024cprize-08; 2026cprize-01"
"Sustainable Urbanism: Urban Design with Nature","Douglas Farr","2008","book","4","0","1","2","0","0","1","0","sustainable, nature","sustainability, urban, design","2021cprize-45; 2022cprize-24; 2022cprize-25; 2025cprize-12"
"Taking Measures across the American Landscape","James M. Corner; Alex S. MacLean","2000","book","4","1","0","0","1","0","1","1","","landscape","2020cprize-16; 2025cprize-02; 2023cprize-02; 2026cprize-04"
"The Architect as Worker: Immaterial Labor, the Creative Class, and the Politics of Design","Peggy Deamer","2015","book","4","1","1","1","0","0","1","0","","labor, design, architect","2020cprize-02; 2021cprize-44; 2022cprize-24; 2025cprize-28"
"The Architecture of Waste: Design for a Circular Economy","Caroline O'Donnell; Dillon Pranger","2020","book","4","2","0","1","0","1","0","0","economic","economy, waste, design, architecture","2022cprize-14; 2020cprize-45; 2020cprize-55; 2024cprize-42"
"The Atmosphere as a Cultural Object","Jorge Otero-Pailos","2016","chapter","4","1","1","1","0","1","0","0","","culture","2022cprize-14; 2020cprize-21; 2021cprize-08; 2024cprize-15"
"The Granite Garden: Urban Nature and Human Design","Anne Whiston Spirn","1984","book","4","3","1","0","0","0","0","0","human, nature","human, urban, design","2020cprize-27; 2020cprize-31; 2020cprize-68; 2021cprize-27"
"The Ministry for the Future","Kim Stanley Robinson","2020","book","4","0","1","0","0","2","0","1","future","future","2021cprize-56; 2024cprize-19; 2024cprize-32; 2026cprize-28"
"The Planet after Geoengineering: Design Earth","Rania Ghosn; El Hadi Jazairy","2021","book","4","0","0","1","0","2","0","1","","planet, earth, design","2022cprize-12; 2026cprize-48; 2024cprize-39; 2024cprize-42"
"The Quadrivium Industrial Complex","Mark Jarzombek","2019","article","4","2","1","0","0","0","1","0","","","2020cprize-02; 2020cprize-29; 2021cprize-43; 2025cprize-06"
"The Right to the City: Social Justice and the Fight for Public Space","Henri Lefebvre","2003","book","4","0","2","0","1","0","0","1","justice","public, social, space, justice, city","2021cprize-26; 2021cprize-52; 2023cprize-26; 2026cprize-10"
"Towards a New Architecture?","Le Corbusier; Frederick Etchells","1986","book","4","1","0","1","1","0","0","1","","architecture","2020cprize-23; 2023cprize-37; 2022cprize-20; 2026cprize-14"
"Toxic Communities: Environmental Racism, Industrial Pollution, and Residential Mobility","Dorceta E. Taylor","2014","book","4","0","1","0","0","1","2","0","environmental, community","","2021cprize-43; 2024cprize-13; 2025cprize-09; 2025cprize-19"
"Undermining: a Wild Ride Through Land Use, Politics, and Art in the Changing West","Lucy Lippard","2014","book","4","1","1","2","0","0","0","0","","land","2022cprize-03; 2020cprize-29; 2021cprize-43; 2022cprize-28"
"What Does Climate Change? (For Architecture)","Amale Andraos","2016","chapter","4","2","1","0","0","1","0","0","climate, change","climate, change, architecture","2021cprize-63; 2020cprize-21; 2020cprize-46; 2024cprize-15"
"Wood Urbanism: From the Molecular to the Territorial","Kiel Moe; Daniel Ibañez; Jane Hutton","2020","book","4","0","1","0","1","1","0","1","","","2021cprize-47; 2023cprize-13; 2024cprize-23; 2026cprize-33"
"14 Patterns of Biophilic Design: Improving Health & Well-Being in the Built Environment","William D. Browning; Catherine O. Ryan; Joseph O. Clancy","2014","report","3","0","1","0","0","0","0","2","environmental, health","design","2026cprize-63; 2021cprize-40; 2026cprize-44"
"1493: Uncovering the New World Columbus Created","Charles C. Mann","2012","book","3","0","1","0","0","1","0","1","world","world","2021cprize-16; 2024cprize-19; 2026cprize-28"
"A Cyborg Manifesto: Science, Technology, and Socialist-Feminism in the Late Twentieth Century","Donna Haraway","1985","article","3","0","0","2","0","0","0","1","science","technology, science","2022cprize-15; 2022cprize-18; 2026cprize-56"
"A Field Guide to Sprawl","Dolores Hayden","2004","book","3","0","1","0","1","1","0","0","","","2021cprize-27; 2023cprize-33; 2024cprize-30"
"A History of the World in Seven Cheap Things: A Guide to Capitalism, Nature, and the Future of the Planet","Jason W. Moore; Raj Patel","2018","book","3","0","1","1","1","0","0","0","future, world, nature","capitalism, world, planet, history, future","2022cprize-12; 2021cprize-17; 2023cprize-11"
"A Home is Not a House","Reyner Banham","1965","article","3","0","2","0","0","1","0","0","","house","2021cprize-15; 2021cprize-18; 2024cprize-24"
"A Paradise Built in Hell: The Extraordinary Communities that Arise in Disaster","Rebecca Solnit","2009","book","3","0","0","0","2","0","1","0","community","disaster","2023cprize-12; 2023cprize-06; 2025cprize-14"
"A Pattern Language","Christopher Alexander; Sara Ishikawa; Murray Silverstein","1977","book","3","0","1","0","0","0","1","1","","","2021cprize-27; 2026cprize-22; 2025cprize-10"
"A Pedagogical Context to Integrate Trend Forecasting Techniques into Innovative Design","","2021","article","3","0","0","0","0","0","3","0","","design","2025cprize-23; 2025cprize-24; 2025cprize-25"
"A Third Space: Neither Fully Urban nor Fully of the Biosphere","S. Sassen","2016","chapter","3","0","1","0","1","0","0","1","","space, urban","2021cprize-63; 2023cprize-06; 2026cprize-29"
"A Vast Machine: Computer Models, Climate Data, and the Politics of Global Warming","Paul Edwards","2010","book","3","1","1","0","0","0","1","0","climate, global, data","data, climate, global, warming","2020cprize-43; 2021cprize-47; 2025cprize-32"
"After Nature: The Politics of the Anthropocene","Jedediah Purdy","2015","book","3","1","2","0","0","0","0","0","nature","anthropocene","2020cprize-55; 2021cprize-08; 2021cprize-17"
"American Building 2: The Environmental Forces That Shape It","James Marston Fitch","1999","book","3","1","2","0","0","0","0","0","environmental","building","2020cprize-39; 2021cprize-11; 2021cprize-20"
"Architecture for the Poor: An Experiment in Rural Egypt","Hassan Fathy","1973","book","3","1","0","0","0","1","0","1","","rural, architecture","2026cprize-45; 2020cprize-33; 2024cprize-27"
"Architecture, Environment, History: Questions and Consequences","Daniel A. Barber; Lee Stickells; Daniel J. Ryan; Maren Koehler; Andrew Leach; Philip Goad; Deborah van der Plaat; Cathy Keys; Farhan Karim","2018","article","3","3","0","0","0","0","0","0","environmental","history, architecture","2020cprize-14; 2020cprize-25; 2020cprize-59"
"Archives of the Present-Future: On Climate Change and Representational Breakdown","Emily Eliza Scott","2016","chapter","3","2","0","1","0","0","0","0","climate, change, future","climate, change, future","2020cprize-21; 2020cprize-46; 2022cprize-22"
"At the Border of Decolonization","Ana María Leon; Andrew Herscher","2020","article","3","0","1","0","1","1","0","0","","","2021cprize-17; 2024cprize-09; 2023cprize-11"
"Being Ecological","Timothy Morton","2018","book","3","2","1","0","0","0","0","0","ecological","ecological","2020cprize-12; 2020cprize-62; 2021cprize-43"
"Beyond Nature and Culture","Philippe Descola; Janet Lloyd","2013","book","3","0","0","0","0","2","0","1","nature","culture","2026cprize-45; 2024cprize-13; 2024cprize-40"
"Blue Dunes: Climate Change By Design","Jesse Keenan; Claire Weisz","2017","book","3","2","0","1","0","0","0","0","climate, change","climate, change, design","2022cprize-16; 2020cprize-12; 2020cprize-66"
"Building Better - Less - Different: Circular Construction and Circular Economy","Felix Heisel; Dirk E. Hebel; Ken Webster","2022","book","3","0","0","0","0","2","1","0","economic","economy, construction, building","2024cprize-25; 2024cprize-26; 2025cprize-13"
"Capitalism and the Web of Life: Ecology and the Accumulation of Capital","Jason Moore","2015","book","3","2","0","0","0","0","1","0","ecological","capitalism, ecological","2020cprize-02; 2020cprize-09; 2025cprize-04"
"Cartographic Grounds: Projecting the Landscape Imaginary","Jill Desimini; Charles Waldheim","2016","book","3","1","0","0","1","1","0","0","","landscape","2020cprize-16; 2024cprize-12; 2023cprize-09"
"Changes in the Land: Indians, Colonists, and the Ecology of New England","William Cronon","2003","book","3","0","2","0","1","0","0","0","ecological","land, ecological","2021cprize-16; 2021cprize-47; 2023cprize-31"
"Cities as Sustainable Ecosystems: Principles and Practices","Peter Newman; Isabella Jennings","2008","book","3","0","1","0","0","1","0","1","sustainable","sustainability","2021cprize-56; 2024cprize-32; 2026cprize-36"
"Cities for People","Jan Gehl","2010","book","3","0","1","0","1","0","1","0","","","2021cprize-12; 2023cprize-39; 2025cprize-12"
"City of Flows: Modernity, Nature, and the City","Maria Kaika","2004","book","3","1","1","1","0","0","0","0","nature","city","2020cprize-58; 2021cprize-16; 2022cprize-24"
"Climate Justice: Case Studies in Global and Regional Governance Challenges","Randall S. Abate","2016","book","3","0","0","0","0","2","1","0","climate, global, justice","climate, global, justice","2024cprize-07; 2024cprize-32; 2025cprize-35"
"Close Up at a Distance: Mapping, Technology, and Politics","Laura Kurgan","2013","book","3","1","1","0","0","0","0","1","","technology, map","2026cprize-61; 2020cprize-02; 2021cprize-16"
"Collapse: How Societies Choose To Fail Or Survive","Jared Diamond","2011","book","3","2","1","0","0","0","0","0","","","2020cprize-35; 2020cprize-59; 2021cprize-48"
"Colonial Lives of Property: Law, Land, and Racial Regimes of Ownership","Brenna Bhandar","2018","book","3","1","0","1","1","0","0","0","","land, property, colonial, race","2022cprize-02; 2020cprize-14; 2023cprize-03"
"Convergence: An Architectural Agenda for Energy","Kiel Moe","2013","book","3","0","1","0","2","0","0","0","energy","energy","2021cprize-11; 2023cprize-37; 2023cprize-01"
"Crabgrass Frontier: The Suburbanization of the United States","Kenneth Jackson","1987","book","3","0","1","0","1","1","0","0","","","2021cprize-27; 2023cprize-33; 2024cprize-30"
"Critical climate justice","F. Sultana","2022","article","3","0","0","0","1","1","1","0","climate, critical, justice","critical, climate, justice","2023cprize-38; 2024cprize-10; 2025cprize-07"
"Dark Ecology: For a Logic of Future Coexistence","Timothy Morton","2016","book","3","2","0","0","0","0","1","0","future, ecological","ecological, future","2020cprize-25; 2020cprize-66; 2025cprize-04"
"Delphi Method as a Morphological Catalyst for Foresight-Oriented Design Research","","2022","article","3","0","0","0","0","0","3","0","","research, design","2025cprize-23; 2025cprize-24; 2025cprize-25"
"Deserts Are Not Empty","Samia Henni","2022","book","3","0","0","0","0","1","1","1","","","2024cprize-19; 2025cprize-02; 2026cprize-28"
"Design Like You Give a Damn: Architectural Responses to Humanitarian Crises","Cameron Sinclair; Architecture for Humanity","2009","book","3","1","2","0","0","0","0","0","","design","2020cprize-23; 2021cprize-26; 2021cprize-37"
"Designer's Guide to Lab Practice","Assia Crawford","2023","book","3","0","0","0","1","0","0","2","","","2026cprize-45; 2023cprize-07; 2026cprize-08"
"Diagrams of Power: Visualizing, Mapping and Performing Resistance","Patricio Davila","2019","book","3","1","1","1","0","0","0","0","","map","2020cprize-34; 2021cprize-52; 2022cprize-26"
"Dingbat 2.0: The Iconic Los Angeles Apartment as Projection of a Metropolis","","2016","book","3","1","1","0","0","0","0","1","","","2020cprize-53; 2021cprize-34; 2026cprize-34"
"Diversity by Design: Feminist Reflections on the Future of Architectural Education and Practice","Beth Tauke; Korydon H. Smith; Charles L. Davis","2016","book","3","1","0","1","1","0","0","0","future","design, future","2022cprize-19; 2020cprize-54; 2023cprize-18"
"Driving the Golden Spike","Brian Holmes","","article","3","1","1","1","0","0","0","0","","","2022cprize-17; 2020cprize-53; 2021cprize-34"
"Eco-city Planning: Policies, practice and Design","T.X. Wong; B. Yuen","2011","book","3","0","0","0","1","1","1","0","","city, design","2023cprize-38; 2024cprize-10; 2025cprize-07"
"Ecologies of prosperity","M. Jover; A. Wall","2019","book","3","0","0","0","1","1","1","0","","ecological","2023cprize-38; 2024cprize-10; 2025cprize-07"
"Energy as a Spatial Project","Rania Ghosn","2009","article","3","2","1","0","0","0","0","0","energy","energy, space","2020cprize-29; 2020cprize-46; 2021cprize-43"
"Facing Gaia: Eight Lectures on the New Climatic Regime","Bruno Latour","2017","book","3","1","1","1","0","0","0","0","","","2022cprize-15; 2020cprize-21; 2021cprize-08"
"Feminist City: Claiming Space in a Man-made World","L. Kern","2020","book","3","0","0","0","1","1","1","0","world","world, space, city","2023cprize-38; 2024cprize-10; 2025cprize-07"
"Fossil Capital: The Rise of Steam Power and the Roots of Global Warming","Andreas Malm","2016","book","3","1","1","0","0","1","0","0","global","global, warming","2020cprize-29; 2021cprize-43; 2024cprize-12"
"Gaïa Global Circus: A Climate Tragicomedy","Rania Ghosn; El Hadi Jazairy","2016","chapter","3","1","0","0","1","0","0","1","climate, global","climate, global","2020cprize-21; 2023cprize-31; 2026cprize-30"
"Geographies of Trash","Rania Ghosn; El Hadi Jazairy","2015","book","3","2","0","0","0","0","0","1","","","2026cprize-48; 2020cprize-21; 2020cprize-46"
"Global Warming of 1.5°C: Special Report","IPCC","2018","report","3","2","1","0","0","0","0","0","global","global, warming","2020cprize-07; 2020cprize-15; 2021cprize-36"
"Governing the Commons: The Evolution of Institutions for Collective Action","Elinor Ostrom","1990","book","3","2","0","0","0","0","0","1","","","2020cprize-32; 2020cprize-60; 2026cprize-09"
"Green Vision: Greenspace Planning and Design in Nordic Cities","K. Nilsson; R. Webber; L. Rohrer","2021","book","3","0","0","0","1","1","1","0","","design","2023cprize-38; 2024cprize-10; 2025cprize-07"
"Half-Earth Socialism: A Plan to Save the Future from Extinction, Climate Change, and Pandemics","Troy Vettese; Drew Pendergrass","2022","book","3","0","0","0","0","2","0","1","climate, change, future","climate, plan, earth, change, future","2024cprize-19; 2024cprize-32; 2026cprize-28"
"Heat Wave: A Social Autopsy of Disaster in Chicago","U.S. Global Change Research Program","2015","book","3","0","0","1","1","0","0","1","","social, heat, disaster","2022cprize-05; 2023cprize-23; 2026cprize-02"
"How Climate Change Migration Will Reshape America","Abrahm Lustgarten","2020","article","3","0","1","0","1","0","0","1","climate, change","climate, change, migration","2021cprize-04; 2023cprize-06; 2026cprize-37"
"How Decades of Racist Housing Policy Left Neighborhoods Sweltering","Brad Plumer; Nadja Popovich","2020","article","3","0","1","1","0","0","0","1","","house","2022cprize-02; 2021cprize-29; 2026cprize-13"
"How Forests Think: Toward an Anthropology Beyond the Human","Eduardo Kohn","2013","book","3","0","0","0","1","1","0","1","human","human","2026cprize-56; 2024cprize-03; 2023cprize-07"
"Human Ecology: Biocultural Adaptations in Human Communities","Holger Schutkowski","2011","book","3","0","0","1","0","1","1","0","human, ecological, community","human, ecological","2024cprize-34; 2022cprize-24; 2025cprize-27"
"Icebergs, Zombies, and the Ultra Thin: Architecture and Capitalism in the Twenty-First Century","M. Soules","2021","book","3","0","0","0","1","1","1","0","","capitalism, architecture","2023cprize-38; 2024cprize-10; 2025cprize-07"
"Implosions/Explosions: Towards a Study of Planetary Urbanization","Neil Brenner (ed.)","2014","book","3","2","1","0","0","0","0","0","","planet","2020cprize-05; 2020cprize-34; 2021cprize-52"
"In Catastrophic Times: Resisting the Coming Barbarism","Isabelle Stengers","2015","book","3","2","0","0","0","0","1","0","","","2020cprize-09; 2020cprize-21; 2025cprize-16"
"In the Heat of the Past: Towards a History of the Fossil Economy","Andreas Malm","2016","chapter","3","1","1","1","0","0","0","0","economic","economy, heat, history","2022cprize-04; 2020cprize-09; 2021cprize-54"
