"title","authors","year_published","type","genre","description","publisher","journal","container_title","isbn","total_citations","2020","2021","2022","2023","2024","2025","2026","source_syllabi"
"The World Without Us","Alan Weisman","2008","book","Human-plant relationships; Efecto del ser humano sobre; Nature; Effect of human beings on; Ecología","The World Without Us, an intriguing peek inside the impact homo sapiens have on the world around us and what will be left when we cease to exist. Alan Weisman intelligently intertwines the affect we have on the Earth and its ecosystems and the way we have damaged it, the things nature can't undo. A tremendous report on the ways we have killed the flora and fauna and how we will ultimately extermin","Picador/Thomas Dunne Books/St. Martin's Press","","","9787543933606","5","1","2","1","1","0","0","0","2022cprize-17; 2020cprize-53; 2021cprize-34; 2021cprize-41; 2023cprize-12"
"User Interface for Atrium Daylight and Thermal Performances","Mahsan Mohsenin","2016","other","","","","eSIM Building Performance Simulation Conference","","","5","1","0","0","2","2","0","0","2020cprize-38; 2023cprize-24; 2023cprize-25; 2024cprize-25; 2024cprize-26"
"Views from the Plastisphere: A Preface to Post-Rock Architecture (in Climates: Architecture and the Planetary Imaginary)","Meredith Miller","2016","chapter","","","Columbia Books on Architecture and the City","","","","5","2","0","1","0","1","0","1","2020cprize-46; 2020cprize-62; 2024cprize-40; 2022cprize-21; 2026cprize-30"
"A Billion Black Anthropocenes or None","Kathryn Yousoff","2018","book","Blacks, race identity; Geology; Blacks; Race identity; Social aspects","","University of Minnesota Press","","","9781452962054","4","1","2","1","0","0","0","0","2022cprize-17; 2020cprize-53; 2021cprize-16; 2021cprize-34"
"Against the Anthropocene: Visual Culture and Environment Today","Thomas J. Demos","2017","book","","","Sternberg Press","","","","4","2","1","0","0","0","0","1","2020cprize-12; 2020cprize-21; 2021cprize-48; 2026cprize-24"
"Air Conditioning: Taming the Climate as a Dream of Civilization (in Climates: Architecture and the Planetary Imaginary)","Eva Horn","2016","chapter","","","Columbia Books on Architecture and the City","","","","4","1","0","1","2","0","0","0","2022cprize-02; 2020cprize-62; 2023cprize-14; 2023cprize-15"
"Architectural Theories of the Environment: Posthuman Territory","Ariane Lourie Harrison","2013","book","","","Routledge","","","","4","1","0","2","0","1","0","0","2022cprize-15; 2022cprize-18; 2020cprize-49; 2024cprize-01"
"Architecture Depends","Jeremy Till","2009","book","","","MIT Press","","","","4","2","1","0","0","0","0","1","2020cprize-35; 2020cprize-60; 2021cprize-48; 2026cprize-36"
"Architecture in the Anthropocene: Encounters Among Design, Deep Time, Science and Philosophy","Etienne Turpin (ed.)","2013","book","","","Open Humanities Press","","","","4","2","0","0","0","1","1","0","2020cprize-21; 2020cprize-54; 2024cprize-13; 2025cprize-09"
"Beyond Shelter: Architecture and Human Dignity","Alfredo Brillembourg; et al.","2011","book","","","Metropolis Books","","","","4","1","1","1","0","0","1","0","2022cprize-09; 2020cprize-50; 2021cprize-37; 2025cprize-12"
"Beyond the City: Resource Extraction Urbanism in South America","Felipe Correa","2016","book","","","University of Texas Press","","","","4","2","1","1","0","0","0","0","2022cprize-02; 2020cprize-29; 2020cprize-62; 2021cprize-43"
"Biomimicry: Innovation Inspired by Nature","Janine Benyus","1997","book","","","Morrow","","","","4","0","1","0","1","1","1","0","2021cprize-46; 2023cprize-37; 2024cprize-34; 2025cprize-27"
"Climates: Architecture and the Planetary Imaginary","James Graham; Caitlin Blanchfield; Alissa Anderson; Jordan Carver; Jacob Moore","2016","book","","","Columbia Books on Architecture and the City","","","","4","2","2","0","0","0","0","0","2020cprize-02; 2020cprize-66; 2021cprize-01; 2021cprize-46"
"Cultivated Building Materials: Industrialized Natural Resources for Architecture and Construction","Dirk Hebel; Felix Heisel","2017","book","Building materials; Architecture, environmental aspects; Reinforced concrete; Composite-reinforced concrete; Natural resources","","Birkhäuser","","","9783035608922","4","1","0","1","0","1","1","0","2022cprize-14; 2020cprize-33; 2024cprize-23; 2025cprize-13"
"Decolonizing the Chicago Cultural Center","Settler Colonial City Project","","other","","","","","","","4","1","1","1","0","0","0","1","2022cprize-17; 2020cprize-53; 2021cprize-34; 2026cprize-34"
"Delirious New York: A Retroactive Manifesto for Manhattan","Rem Koolhaas","1994","book","","","Monacelli Press","","","","4","1","2","0","1","0","0","0","2020cprize-51; 2021cprize-15; 2021cprize-28; 2023cprize-39"
"Designs for the Pluriverse: Radical Interdependence, Autonomy, and the Making of Worlds","Arturo Escobar","2018","book","","","Duke University Press","","","","4","1","1","0","0","1","0","1","2026cprize-60; 2020cprize-14; 2021cprize-17; 2024cprize-13"
"Doughnut Economics: Seven Ways to Think like a 21st Century Economist","Kate Raworth","2012","book","","","Chelsea Green Publishing","","","","4","0","1","0","0","2","0","1","2021cprize-40; 2024cprize-14; 2024cprize-21; 2026cprize-36"
"Emerging Ecologies: Architecture and the Rise of Environmentalism","Carson Chan","2023","book","","","Museum of Modern Art","","","","4","0","0","0","0","1","2","1","2024cprize-40; 2025cprize-33; 2026cprize-05; 2025cprize-04"
"Envisioning Information","Edward R. Tufte","1990","book","Vision couleur; Visual communication; Image 3D; Cognitieve processen; Conception graphique","The celebrated design professor here tackles the question of how best to communicate real-life experience in a two-degree format, whether on the printed page or the computer screen. **Review:** The Whole Earth Review called Envisioning Information a ""passionate, elegant revelation.","","","","9780961392116","4","1","1","0","0","0","1","1","2020cprize-39; 2021cprize-20; 2026cprize-22; 2025cprize-10"
"Histories of Ecological Design: An Unfinished Cyclopedia","Lydia Kallipoliti","2024","book","","","Actar","","","","4","0","0","0","0","0","2","2","2026cprize-56; 2026cprize-24; 2025cprize-29; 2025cprize-04"
"How Buildings Learn: What Happens After They're Built","Stewart Brand","1994","book","","","Viking Press","","","","4","1","1","1","0","0","1","0","2022cprize-08; 2020cprize-26; 2021cprize-12; 2025cprize-29"
"Learning from Las Vegas","Robert Venturi; Scott Brown, Denise; Steven Izenour","1972","book","Symbolism in architecture; Architecture; Architecture, united states; Architecture--nevada--las vegas; General & miscellaneous architectural history & criticism","Upon its publication by the MIT Press in 1972, ***Learning from Las Vegas*** was immediately influential and controversial. The authors made an argument that was revolutionary for its time -- that the billboards and casinos of Las Vegas were worthy of architectural attention -- and offered a challenge for contemporary architects obsessed with the heroic and monumental. ***Learning from Las Veg","MIT Press","","","9789655121520","4","0","0","1","0","1","0","2","2022cprize-03; 2026cprize-46; 2024cprize-33; 2026cprize-14"
"Maintenance and Care: A working guide to the repair of rust, dust, cracks, and corrupted code in our cities, our homes, and our social relations","Shannon Mattern","2018","article","","","","Places Journal","","","4","2","1","0","0","1","0","0","2020cprize-40; 2020cprize-46; 2021cprize-16; 2024cprize-09"
"Manufactured Landscapes: The Photographs of Edward Burtynsky","Jennifer Baichwal; Edward Burtynsky","2006","film","","","Yale University Press","","","","4","0","0","2","1","0","1","0","2022cprize-15; 2022cprize-18; 2023cprize-31; 2025cprize-04"
"Margins in Our Midst","Matthew Coolidge","","chapter","","","","","","","4","1","1","1","0","0","0","1","2022cprize-17; 2020cprize-53; 2021cprize-34; 2026cprize-34"
"Matters of Care: Speculative Ethics in More than Human Worlds","María Puig de la Bellacasa","2017","book","","","Minnesota University Press","","","","4","1","1","0","0","2","0","0","2020cprize-09; 2021cprize-16; 2024cprize-01; 2024cprize-21"
"Net Zero Energy Buildings: International Projects of Carbon Neutrality in Buildings","K. Voss; Eike Musall","2012","book","","","Walter de Gruyter","","","","4","2","2","0","0","0","0","0","2020cprize-19; 2020cprize-41; 2021cprize-29; 2021cprize-51"
"Operating Manual for Spaceship Earth","Richard Buckminster Fuller","1969","book","Philosophy; Technology; Technology and civilization; Technologie et civilisation; Technologie","Edited and re-released by Fuller's grandson, Jamie Snyder, this edition is true to the original manuscript but adds helpful footnotes providing a modern context to some of the figures and predictions throughout the book.","Southern Illinois University Press","","","9783907078235","4","3","0","1","0","0","0","0","2022cprize-02; 2020cprize-05; 2020cprize-45; 2020cprize-66"
"Poetics of Relation","Edouard Glissant","1997","book","French Creole dialects; Relations; Language and culture; Civilization; French language","In Poetics of Relation, French-Caribbean writer and philosopher Edouard Glissant turns the concrete particulars of Caribbean reality into a complex, energetic vision of a world in transformation. He sees the islands of the Antilles as enduring an ""invalid"" suffering imposed by history, yet also as a place whose unique interactions will one day produce an emerging global consensus. Arguing that th","The University of Michigan Press","","","9780472066292","4","1","1","0","0","0","1","1","2020cprize-61; 2021cprize-17; 2026cprize-35; 2025cprize-34"
"Politics of Nature: How to Bring the Sciences into Democracy","Bruno Latour; Catherine Porter","2011","article","","","Harvard University Press","Ethics & Global Politics","","","4","1","1","1","0","0","1","0","2020cprize-35; 2021cprize-48; 2022cprize-30; 2025cprize-09"
"Rebuilding the American City","Patty Heyda; David Gamble","2016","book","City planning, united states; Urban policy; City planning; Politique urbaine; POLITICAL SCIENCE","","Routledge","","","9781317631057","4","1","1","0","1","1","0","0","2020cprize-34; 2021cprize-52; 2023cprize-33; 2024cprize-30"
"Subtraction","Keller Easterling","2014","book","Space (Architecture); City planning; Architecture and society; Wrecking; Social aspects","Unbuilding is the other half of building. Buildings, treated as currency, rapidly inflate and deflate in volatile financial markets. Cities expand and shrink; whether through the violence of planning utopias or war, they are also targets of urbicide. Repeatable spatial products quickly make new construction obsolete; the powerful bulldoze the disenfranchised; buildings can radiate negative real es","Sternberg Press","","","9783956790461","4","2","1","0","0","0","0","1","2020cprize-46; 2020cprize-66; 2021cprize-08; 2026cprize-30"
"Sun, Wind, and Light: Architectural Design Strategies","G. Z. Brown; Mark DeKay","2001","book","Architecture and energy conservation; Architecture and climate","","Wiley","","","9780471820635","4","1","0","0","1","1","0","1","2020cprize-30; 2023cprize-37; 2024cprize-08; 2026cprize-01"
"Sustainable Urbanism: Urban Design with Nature","Douglas Farr","2008","book","","","Wiley","","","","4","0","1","2","0","0","1","0","2021cprize-45; 2022cprize-24; 2022cprize-25; 2025cprize-12"
"Taking Measures across the American Landscape","James M. Corner; Alex S. MacLean","2000","book","","","Yale University Press","","","","4","1","0","0","1","0","1","1","2020cprize-16; 2025cprize-02; 2023cprize-02; 2026cprize-04"
"The Architect as Worker: Immaterial Labor, the Creative Class, and the Politics of Design","Peggy Deamer","2015","book","","","Bloomsbury Academic","","","","4","1","1","1","0","0","1","0","2020cprize-02; 2021cprize-44; 2022cprize-24; 2025cprize-28"
"The Architecture of Waste: Design for a Circular Economy","Caroline O'Donnell; Dillon Pranger","2020","book","","","Routledge","","","","4","2","0","1","0","1","0","0","2022cprize-14; 2020cprize-45; 2020cprize-55; 2024cprize-42"
"The Atmosphere as a Cultural Object","Jorge Otero-Pailos","2016","chapter","","","Lars Müller","","Climates: Architecture and the Planetary Imaginary","","4","1","1","1","0","1","0","0","2022cprize-14; 2020cprize-21; 2021cprize-08; 2024cprize-15"
"The Granite Garden: Urban Nature and Human Design","Anne Whiston Spirn","1984","book","","","Basic Books","","","9780465027064","4","3","1","0","0","0","0","0","2020cprize-27; 2020cprize-31; 2020cprize-68; 2021cprize-27"
"The Ministry for the Future","Kim Stanley Robinson","2020","book","American literature; Fiction; Environmental policy; Officials and employees; Climatic changes","*The Ministry for the Future* is a masterpiece of the imagination, using fictional eyewitness accounts to tell the story of how climate change will affect us all. Its setting is not a desolate, post-apocalyptic world, but a future that is almost upon us. Chosen by Barack Obama as one of his favorite books of the year, this extraordinary novel from visionary science fiction writer Kim Stanley Robin","Orbit","","","9780356508863","4","0","1","0","0","2","0","1","2021cprize-56; 2024cprize-19; 2024cprize-32; 2026cprize-28"
"The Planet after Geoengineering: Design Earth","Rania Ghosn; El Hadi Jazairy","2021","book","","","Actar","","","","4","0","0","1","0","2","0","1","2022cprize-12; 2026cprize-48; 2024cprize-39; 2024cprize-42"
"The Quadrivium Industrial Complex","Mark Jarzombek","2019","article","","","","e-flux","","","4","2","1","0","0","0","1","0","2020cprize-02; 2020cprize-29; 2021cprize-43; 2025cprize-06"
"The Right to the City: Social Justice and the Fight for Public Space","Henri Lefebvre","2003","book","","","Guilford Press","","","","4","0","2","0","1","0","0","1","2021cprize-26; 2021cprize-52; 2023cprize-26; 2026cprize-10"
"Towards a New Architecture?","Le Corbusier; Frederick Etchells","1986","book","Architecture","","Dover","","","9781466216396","4","1","0","1","1","0","0","1","2020cprize-23; 2023cprize-37; 2022cprize-20; 2026cprize-14"
"Toxic Communities: Environmental Racism, Industrial Pollution, and Residential Mobility","Dorceta E. Taylor","2014","book","","","New York University Press","","","","4","0","1","0","0","1","2","0","2021cprize-43; 2024cprize-13; 2025cprize-09; 2025cprize-19"
"Undermining: a Wild Ride Through Land Use, Politics, and Art in the Changing West","Lucy Lippard","2014","book","","","","","","","4","1","1","2","0","0","0","0","2022cprize-03; 2020cprize-29; 2021cprize-43; 2022cprize-28"
